songs,artists,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
I'm Saying,LEE HONG GI,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
Come Inside (Bride Of The Century OST),FTISLAND,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
Words I Couldn't Say Yes (Bride Of The Century OST),LEE HONG GI,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
No More Dream,BTS,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
Time And Fallen Leaves,AKMU,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
Love Song,BIGBANG,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
Stupid Liar,BIGBANG,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
We Are Bulletproof Pt.2,BTS,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
Boy in Luv,BTS,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
Intro: The Most Beautiful Moment in Life,BTS,spotify:track:5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,audio_features,5BzfRtVjyC4wbISHdbCvWL,spotify:track:5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/tracks/5BzfRtVjyC4wbISHdbCvWL,https://api.spotify.com/v1/audio-analysis/5BzfRtVjyC4wbISHdbCvWL,209987,4
